,user_id,username,name
193,1313225555513278464,shalmixle,tayriana supremacy
194,1509545526768844801,streamingsour,.
195,1338519321652367361,amalaverse,ٴٴٴ
196,1361300984077504525,tsthemscindstry,adi is a 🪩
197,19658826,newscientist,New Scientist
198,2889047289,wildestscreamz,em
199,39171482,jessica_parks,Jessica Parks 💗🦋 (Taylor’s Version)
200,1308537228663099396,louesargentino,lara lvs agus
201,1392243071186718720,imamirrcrballl,🌸 amy is a 🤡 - jigsaw era 🧩 | dm to join gc 🌈
202,882057386847911936,moyashinical,もやし
203,1492150068320821248,bbynic666,nicola
204,1320855557461299201,mylifelessframe,benjamin | moon knight era 🌙
205,1095854113479421952,onlyforevertony,Tony
206,3232116091,linzlovestaylor,𝐿𝒾𝓃𝒹𝓈𝒶𝓎(Taylor's Version) FOREVER & ALWAYS
207,1371115620901781507,theonewildest,príncipe do coração partido ✯
208,924088631932755968,gmaegannnnn,G
209,399707090,_princessjena,Jena ♕
210,15428397,livescience,Live Science
211,1456580523254599681,haylotheswiftie,Hayley
212,1343047336247709697,burningredthr,Potayto 🧣
213,1423729316236562433,casuallycruelme,§uhrab🦨
214,1231205647015907329,itsjoseph1n3,Jo💐 | sees tate in 23 days
215,1249551734462087169,weirdorynee,YourWorstNightmare
216,1376132357091160069,adefender0405,e²la؛) D-12🎉
217,487035580,maryannsbitch_,aryzinha
218,284920800,news18dotcom,News18.com
219,1309555965210091520,miss_daylight13,Ana🧣
220,1251507030654779392,hungrypolcaugh,fadh loves chanbaek
221,1271490335827427334,gulpankow,gül ϟ | zoyalai lovebot.
222,1291404424250712064,westenthu,Western Enthusiast
223,2871661402,retouch_gallery,Rєтσυcн Gαℓℓєяу
224,270441856,clavqueen,ali
225,1509830962460254209,nzswifttie,olivia wyatt (taylors version)
226,3366153592,swiftiess8,Taylor Swift Fan
227,2480770812,haluuuram,hyram
228,1084248132312096768,shickpicking,Daniel 🥶
229,960963805550268416,finelinelouis29,naomi misses manavi 🏡🏡
230,172943205,hockeyswift14,Emily 🍭
231,1067558360776654848,shutupanakln,BETH 🚇🧣
232,1455969167685951493,caliousandcruel,jigsaw/juniper⚡️
233,1195629672744333312,tayspetsch,kadriye
234,1248597156937826304,ttobesofearless,lizu's house loves zim
235,310278533,letithegoat,baby honey
236,1389414152846798849,rowaelinreads,belle | rowan’s daughter 🌲
237,1432438649464004610,lwthomerry,Boyfriends ?!
238,1701066888,achjolenko,lenka (Taylor’s Version)
239,923495975670366208,halosglitter,glitter ✿ 28 days for HSH
240,1367981155631382528,_celebeauty_,Celebs
241,902848156844662788,juliassgem,maha
242,1429126383796584451,lvylegion,Grey 🧣|| PROUD OF SHAMS
